SECTION,SECTION NAME,PART,SUBSECTION,SUBSECTION NAME,DESCRIPTION
"=""024120""",BUILDING DEMOLITION,PART 1 - GENERAL,1.4-A,SUBMITTALS,"A. Informational Submittals: 
1. Schedule of Selective Demolition Activities: Indicate the following. a. Detailed sequence of selective demolition and removal work, with starting and ending dates for each activity. Ensure Owner's on-site operations are uninterrupted. b. Interruption of utility services. Indicate how long utility services will be interrupted. c. Coordination for shutoff, capping, and continuation of utility services. d. Use of elevator and stairs. e. Locations of proposed dust- and noise-control temporary partitions and means of egress. f. Coordination of Owner's continuing occupancy of portions of existing building and of Owner's partial occupancy of completed work. g. Means of protecting existing-to-remain items in the path of waste removal. PAGE : 2 
2. Inventory: After selective demolition is complete, submit a list of items that have been removed and salvaged. 
3. Pre-Demolition Photographs or Videos: Submit videos or photographs showing existing conditions of adjoining construction and site improvements, including finish surfaces that might be misconstrued as damage caused by selective demolition operations."
"=""031000""",CONCRETE FORMWORK,PART 1 - GENERAL,1.5-A,SUBMITTALS,A. Timing: Allow a minimum of two weeks for review of submittals.
"=""031000""",CONCRETE FORMWORK,PART 1 - GENERAL,1.5-B,SUBMITTALS,"B. Shop Drawings: Submit shop drawings showing form pattern layouts of all exposed exterior and interior concrete dimensioned to precisely locate grooves, form panel jointing, and similar features. Review and approval will not include form strength and adequacy."
"=""031000""",CONCRETE FORMWORK,PART 1 - GENERAL,1.5-C,SUBMITTALS,"C. Record Document: Keep an accurate record of the dates of removal of forms, form shores and reshores, and furnish copies to the Architect."
"=""031000""",CONCRETE FORMWORK,PART 1 - GENERAL,1.5-D,SUBMITTALS,D. Submit product data for all proprietary items to be used on project.
"=""032000""",CONCRETE REINFORCEMENT,PART 1 - GENERAL,1.3-A,SUBMITTALS,"A. Shop Drawings: Submit including complete layouts, sections, and details for congested conditions, typical bending diagrams and offsets, splice lengths and locations, proposed layout where vertical and horizontal bars intersect, and wherever welding is proposed, detailed to conform to AWS and CBC requirements. After approval of initial submission, subsequent submittals may be waived. B B PAGE : 19"
"=""032000""",CONCRETE REINFORCEMENT,PART 1 - GENERAL,1.3-B,SUBMITTALS,B. Product Data.
"=""032000""",CONCRETE REINFORCEMENT,PART 1 - GENERAL,1.3-C,SUBMITTALS,"C. Certifications: If steel is to be welded, submit certifications signed by AWS Certified Welding Inspector (CWI) of prequalified welding procedures, qualifications of welding procedures unless prequalified, qualification of welding operators, and qualification of welders."
"=""032000""",CONCRETE REINFORCEMENT,PART 1 - GENERAL,1.3-D,SUBMITTALS,"D. Chemical Analysis: Provide for bars to be welded, in accordance with CBC Table 1705A.3 and ACI 318 26.6.4.1."
"=""032000""",CONCRETE REINFORCEMENT,PART 1 - GENERAL,1.3-E,SUBMITTALS,E. Weld Specification Procedures (WPS): Submit all WPS in writing (both prequalified and qualify by test) in accordance with AWS D1.1. Welding shall not proceed until WPS have be reviewed and approved by the Registered Design Professional and HCAI. Refer to specification Section 05 12 10 for information regarding weld specification procedure.
