Spec Number,Spec Name,Para,Sub Section Heading,Submittal Type,Submittal Description
024119,SELECTIVE DEMOLITION,1.10-A-1,WARRANTY,Warranty,1. TPO Roofing System
024119,SELECTIVE DEMOLITION,1.10-B,WARRANTY,Warranty,"Notify warrantor on completion of selective demolition, and obtain documentation verifying
that existing system has been inspected and warranty remains in effect. Submit
documentation at Project closeout."
024119,SELECTIVE DEMOLITION,1.5-A-1,PREINSTALLATION MEETINGS,Meetings,1. Inspect and discuss condition of construction to be selectively demolished.
024119,SELECTIVE DEMOLITION,1.5-A-2,PREINSTALLATION MEETINGS,Meetings,2. Review structural load limitations of existing structure.
024119,SELECTIVE DEMOLITION,1.5-A-3,PREINSTALLATION MEETINGS,Meetings,"3. Review and finalize selective demolition schedule and verify availability of materials, 
demolition personnel, equipment, and facilities needed to make progress and avoid 
delays."
024119,SELECTIVE DEMOLITION,1.5-A-4,PREINSTALLATION MEETINGS,Meetings,"4. Review requirements of work performed by other trades that rely on substrates exposed 
by selective demolition operations."
024119,SELECTIVE DEMOLITION,1.5-A-5,PREINSTALLATION MEETINGS,Meetings,5. Review areas where existing construction is to remain and requires protection.
024119,SELECTIVE DEMOLITION,1.6-A,INFORMATIONAL SUBMITTALS,Measurements,"Proposed Protection Measures : Submit report, including Drawings, that indicates the 
measures proposed for protecting individuals and property, for environmental protection , for
dust control and, for noise control. Indicate proposed locations and construction of barriers."
024119,SELECTIVE DEMOLITION,1.6-B-1,INFORMATIONAL SUBMITTALS,Schedules,"1. Detailed sequence of selective demolition and removal work, with starting and ending 
dates for each activity. Ensure Owner's building manager's and on-site operations are 
uninterrupted."
024119,SELECTIVE DEMOLITION,1.6-B-2,INFORMATIONAL SUBMITTALS,Schedules,2. Interruption of utility services. Indicate how long utility services will be interrupted.
024119,SELECTIVE DEMOLITION,1.6-B-3,INFORMATIONAL SUBMITTALS,Schedules,"3. Coordination for shutoff, capping, and continuation of utility services."
024119,SELECTIVE DEMOLITION,1.6-B-4,INFORMATIONAL SUBMITTALS,Schedules,4. Use of elevator and stairs.
024119,SELECTIVE DEMOLITION,1.6-B-5,INFORMATIONAL SUBMITTALS,Schedules,"5. Coordination of Owner's continuing occupancy of portions of existing building and of 
Owner's partial occupancy of completed Work."
024119,SELECTIVE DEMOLITION,1.6-C,INFORMATIONAL SUBMITTALS,Photos,"Predemolition Photographs or Video : Show existing conditions of adjoining construction, 
including finish surfaces, that might be misconstrued as damage caused by demolition
operations. Submit before Work begins."
024119,SELECTIVE DEMOLITION,1.6-D,INFORMATIONAL SUBMITTALS,Statement Of Refrigerant Recovery,"Statement of Refrigerant Recovery : Signed by refrigerant recovery technician responsible for 
recovering refrigerant, stating that all refrigerant that was present was recovered and that
recovery was performed according to EPA regulations. Include name and address of
technician and date refrigerant was recovered."
024119,SELECTIVE DEMOLITION,1.6-E,INFORMATIONAL SUBMITTALS,Warranty,"Warranties : Documentation indicating that existing warranties are still in effect after 
completion of selective demolition."
024119,SELECTIVE DEMOLITION,1.7-A,CLOSEOUT SUBMITTALS,Inventory,Inventory : Submita list of items that have been removed and salvaged.
030100,ADVANCED COMPOSITE MATERIALS,1.5-A.1-1,SUBMITTALS,Product Data,"1. Submit product data indicating product standards, physical and chemical characteris-- 
tics, technical specifications, limitations, installation instructions, maintenance in- 
structions and general recommendations regarding each individual material."
030100,ADVANCED COMPOSITE MATERIALS,1.5-A.2-2,SUBMITTALS,General,"2. Only epoxy resins will be accepted for construction of FRP systems referenced in this- 
specification. Other resins, such as polyesters/vinyl esters, are not allowed as substi- 
tutes. The manufacturer shall clearly define the epoxy resin working time. Any batch 
that exceeds the batch life shall not be used."
030100,ADVANCED COMPOSITE MATERIALS,1.5-A.4-4,SUBMITTALS,General,"4. Written consent from the FRP manufacturer that the surface bonded FRP composite- 
systems are installed by trained certified applicators as per Section 2.2"
030100,ADVANCED COMPOSITE MATERIALS,1.5-A.7-7,SUBMITTALS,Performance Data,"7. Large-scale test results validating the fiber anchor performance on relevant test spec-- 
imens. Compatibility between composite anchors and the composite system must be 
verified through large-scale testing for similar applications."
030100,ADVANCED COMPOSITE MATERIALS,1.5-A.8-8,SUBMITTALS,General,"8. At the termination of the project, the contractor shall providea field quality control- 
report showing compliance with all aspects of the manufacturers certification re- 
quirements. This report shall be stamped bya civil engineer registered in the state 
where the work is performed."
030100,ADVANCED COMPOSITE MATERIALS,1.5-B-1,SUBMITTALS,Drawings,1. Design and working drawings shall be based on performance as per Section 1.6.
030100,ADVANCED COMPOSITE MATERIALS,1.5-B-2,SUBMITTALS,Drawings,"2. Stamped and signed structural calculations and drawings bya professional Civil En- 
gineer. Design shall be based on the clearly written performance criteria defined on 
the structural drawings."
030100,ADVANCED COMPOSITE MATERIALS,1.5-B-3,SUBMITTALS,Drawings,"3. Working shop drawings and calculations prepared and sealed bya professional engi- 
neer detailing the type, locations, dimensions, numbers of layers, and orientation of 
all FRP materials and coatings to be installed. The shop drawings must also indicatea 
total weight per unit length of each size of anchor (if required) to be used in the pro- 
ject."
030100,ADVANCED COMPOSITE MATERIALS,1.5-C.1-1,SUBMITTALS,General,"1. Manufacturer shall havea minimum of ten (10) years experience confirmed by pro-- 
ject references."
030100,ADVANCED COMPOSITE MATERIALS,1.5-C.2-2,SUBMITTALS,Reports,"2. Providea current ICC Evaluation Service Report, as per Section 1.5.3-"
030100,ADVANCED COMPOSITE MATERIALS,1.5-C.3-3,SUBMITTALS,General,"3. If fire protection is required, provide approved UL rated assembly data for any re-- 
quired fire-resistant finish (1, 2, 3 or 4 hour rated assembly per ASTM E119 or Class 
A Building, Flame Spread & Smoke Development per ASTM E84) as proposed with 
the FRP system."
030100,ADVANCED COMPOSITE MATERIALS,1.5-C.4-4,SUBMITTALS,General,"4. Properties of the composite materials as determined by independent laboratory test-- 
ing in accordance with ASTM D7565 and/or ASTM D3039 (tensile modulus, stress 
and strain) for the proposed fiber composite system. A minimum of 20 tests for each 
must be submitted."
030100,ADVANCED COMPOSITE MATERIALS,1.5-C.5-5,SUBMITTALS,Maintenance Data,"5. Installation procedures, maintenance instructions, and general recommendations re-- 
garding each material to be used."
030100,ADVANCED COMPOSITE MATERIALS,1.5-C.6-6,SUBMITTALS,General,6. Manufacturers Material Safety Data Sheets (MSDS) for all materials to be used.-
030100,ADVANCED COMPOSITE MATERIALS,1.5-C.7-7,SUBMITTALS,Product Data,"7. Manufacturers product data sheet indicating physical, mechanical and chemical- 
characteristics of all materials used in the FRP system."
030100,ADVANCED COMPOSITE MATERIALS,1.5-C.8-8,SUBMITTALS,Certifications,"8. Certification by the manufacturer that supplied products complies with local regula-- 
tions controlling use of volatile organic compounds (VOCs)."
030100,ADVANCED COMPOSITE MATERIALS,1.6-A,PERFORMANCE,Delegated-Design Submittal,"Design the composite system to achieve the structural performance shown on the structural
drawings. Design calculations for the composite system shall be submitted for approval by
the engineer of record and shall be stamped bya registered Civil or Structural Engineer.
The composite anchors must meet the minimum total weight per unit length for each size of
anchor as per submitted design."
032000,CONCRETE REINFORCING,1.3-A-1,ACTION SUBMITTALS,Product Data,1. Each type of steel reinforcement.
032000,CONCRETE REINFORCING,1.3-A-2,ACTION SUBMITTALS,Product Data,2. Bar supports.
032000,CONCRETE REINFORCING,1.3-B-1,ACTION SUBMITTALS,Shop Drawings,"1. Include placing drawings that detail fabrication, bending, and placement."
032000,CONCRETE REINFORCING,1.3-B-2,ACTION SUBMITTALS,Shop Drawings,"2. Include bar sizes, lengths, materials, grades, bar schedules, stirrup spacing, bent bar 
diagrams, bar arrangement, location of splices, lengths of lap splices, details of 
mechanical splice couplers, details of welding splices, tie spacing, hoop spacing, and 
supports for concrete reinforcement."
032000,CONCRETE REINFORCING,1.3-B-3,ACTION SUBMITTALS,Shop Drawings,"3. For structural thermal break insulated connection system, indicate general configuration, 
insulation dimensions, tension bars, compression pads, shear bars, and dimensions."
032000,CONCRETE REINFORCING,1.3-C-1,ACTION SUBMITTALS,Construction Joint Layout,1. Location of construction joints is subject to approval of the Architect.
032000,CONCRETE REINFORCING,1.4-A,INFORMATIONAL SUBMITTALS,Qualification Data,Qualification Statements : For testing and inspection agency.
032000,CONCRETE REINFORCING,1.4-B-1,INFORMATIONAL SUBMITTALS,Certificates,"1. Epoxy-Coated Reinforcement: CRSI's ""Epoxy Coating Plant Certification."" 
"
032000,CONCRETE REINFORCING,1.4-B-2,INFORMATIONAL SUBMITTALS,Certificates,"2. Dual-Coated Reinforcement: CRSI's ""Epoxy Coating Plant Certification."""
033000,CAST-IN-PLACE CONCRETE,1.4-A-1,PREINSTALLATION MEETINGS,Meetings,"1. Require representatives of each entity directly concerned with cast-in-place concrete to 
attend, including the following: 
a. Contractor's superintendent. 
b. Concrete Subcontractor."
033000,CAST-IN-PLACE CONCRETE,1.4-A-2,PREINSTALLATION MEETINGS,Meetings,"2. Review the following: 
a. Special inspection and testing and inspecting agency procedures for field quality 
control. 
b. Construction joints, control joints, isolation joints, and joint-filler strips. 
c. Semirigid joint fillers. 
 
d. Vapor-retarder installation. 
e. Anchor rod and anchorage device installation tolerances. 
f. Cold and hot weather concreting procedures. 
g. Concrete finishes and finishing. 
h. Curing procedures. 
i. Forms and form-removal limitations. 
j. Shoring and reshoring procedures. 
k. Methods for achieving specified floor and slab flatness and levelness. 
l. Floor and slab flatness and levelness measurements. 
m. Concrete repair procedures. 
n. Concrete protection. 
o. Initial curing and field curing of field test cylinders (ASTM C31/C31M.) 
p. Protection of field cured field test cylinders."
033000,CAST-IN-PLACE CONCRETE,1.5-A-1,ACTION SUBMITTALS,Product Data,1. Portland cement.
033000,CAST-IN-PLACE CONCRETE,1.5-A-2,ACTION SUBMITTALS,Product Data,2. Fly ash.
033000,CAST-IN-PLACE CONCRETE,1.5-A-3,ACTION SUBMITTALS,Product Data,3. Slag cement.
033000,CAST-IN-PLACE CONCRETE,1.5-A-4,ACTION SUBMITTALS,Product Data,4. Blended hydraulic cement.
033000,CAST-IN-PLACE CONCRETE,1.5-A-5,ACTION SUBMITTALS,Product Data,5. Silica fume.
033000,CAST-IN-PLACE CONCRETE,1.5-A-6,ACTION SUBMITTALS,Product Data,6. Performance-based hydraulic cement
033000,CAST-IN-PLACE CONCRETE,1.5-A-7,ACTION SUBMITTALS,Product Data,7. Aggregates.
033000,CAST-IN-PLACE CONCRETE,1.5-A-8,ACTION SUBMITTALS,Product Data,"8. Admixtures: 
a. Include limitations of use, including restrictions on cementitious materials, 
supplementary cementitious materials, air entrainment, aggregates, temperature at 
time of concrete placement, relative humidity at time of concrete placement, curing 
conditions, and use of other admixtures."
033000,CAST-IN-PLACE CONCRETE,1.5-A-9,ACTION SUBMITTALS,Product Data,9. Vapor retarders.
033000,CAST-IN-PLACE CONCRETE,1.5-A-1,ACTION SUBMITTALS,Product Data,10. Curing materials.
033000,CAST-IN-PLACE CONCRETE,1.5-A-1,ACTION SUBMITTALS,Product Data,11. Joint fillers.
033000,CAST-IN-PLACE CONCRETE,1.5-A-1,ACTION SUBMITTALS,Product Data,12. Repair materials.
033000,CAST-IN-PLACE CONCRETE,1.5-B-1,ACTION SUBMITTALS,Mix Design,1. Mixture identification.
033000,CAST-IN-PLACE CONCRETE,1.5-B-2,ACTION SUBMITTALS,Mix Design,2. Minimum 28-day compressive strength.
033000,CAST-IN-PLACE CONCRETE,1.5-B-3,ACTION SUBMITTALS,Mix Design,3. Durability exposure class.
033000,CAST-IN-PLACE CONCRETE,1.5-B-4,ACTION SUBMITTALS,Mix Design,4. Maximum w/cm.
033000,CAST-IN-PLACE CONCRETE,1.5-B-5,ACTION SUBMITTALS,Mix Design,"5. Calculated equilibrium unit weight, for lightweight concrete."
033000,CAST-IN-PLACE CONCRETE,1.5-B-6,ACTION SUBMITTALS,Mix Design,6. Slump limit.
033000,CAST-IN-PLACE CONCRETE,1.5-B-7,ACTION SUBMITTALS,Mix Design,7. Air content.
033000,CAST-IN-PLACE CONCRETE,1.5-B-8,ACTION SUBMITTALS,Mix Design,8. Nominal maximum aggregate size.
033000,CAST-IN-PLACE CONCRETE,1.5-B-9,ACTION SUBMITTALS,Mix Design,9. Intended placement method.
033000,CAST-IN-PLACE CONCRETE,1.5-B-1,ACTION SUBMITTALS,Mix Design,"10. Submit alternate design mixtures when characteristics of materials, Project conditions, 
weather, test results, or other circumstances warrant adjustments."
033000,CAST-IN-PLACE CONCRETE,1.5-C-1,ACTION SUBMITTALS,Shop Drawings,"1. Construction Joint Layout: Indicate proposed construction joints required to construct the 
structure. 
a. Location of construction joints is subject to approval of the Architect."
033000,CAST-IN-PLACE CONCRETE,1.6-A-1,INFORMATIONAL SUBMITTALS,Qualification Data,1. Installer: Include copies of applicable ACI certificates.
033000,CAST-IN-PLACE CONCRETE,1.6-A-2,INFORMATIONAL SUBMITTALS,Qualification Data,2. Ready-mixed concrete manufacturer.
033000,CAST-IN-PLACE CONCRETE,1.6-A-3,INFORMATIONAL SUBMITTALS,Qualification Data,3. Testing agency: Include copies of applicable ACI certificates.
033000,CAST-IN-PLACE CONCRETE,1.6-B-1,INFORMATIONAL SUBMITTALS,Certificates,1. Cementitious materials.
033000,CAST-IN-PLACE CONCRETE,1.6-B-2,INFORMATIONAL SUBMITTALS,Certificates,2. Admixtures.
033000,CAST-IN-PLACE CONCRETE,1.6-B-3,INFORMATIONAL SUBMITTALS,Certificates,3. Curing compounds.
033000,CAST-IN-PLACE CONCRETE,1.6-B-4,INFORMATIONAL SUBMITTALS,Certificates,4. Bonding agents.
033000,CAST-IN-PLACE CONCRETE,1.6-B-5,INFORMATIONAL SUBMITTALS,Certificates,5. Adhesives.
033000,CAST-IN-PLACE CONCRETE,1.6-B-6,INFORMATIONAL SUBMITTALS,Certificates,6. Vapor retarders.
033000,CAST-IN-PLACE CONCRETE,1.6-B-7,INFORMATIONAL SUBMITTALS,Certificates,7. Semirigid joint filler.
033000,CAST-IN-PLACE CONCRETE,1.6-B-8,INFORMATIONAL SUBMITTALS,Certificates,8. Joint-filler strips.
033000,CAST-IN-PLACE CONCRETE,1.6-B-9,INFORMATIONAL SUBMITTALS,Certificates,9. Repair materials.
033000,CAST-IN-PLACE CONCRETE,1.6-C-1,INFORMATIONAL SUBMITTALS,Test Reports,1. Portland cement.
033000,CAST-IN-PLACE CONCRETE,1.6-C-2,INFORMATIONAL SUBMITTALS,Test Reports,2. Fly ash.
033000,CAST-IN-PLACE CONCRETE,1.6-C-3,INFORMATIONAL SUBMITTALS,Test Reports,3. Slag cement.
033000,CAST-IN-PLACE CONCRETE,1.6-C-4,INFORMATIONAL SUBMITTALS,Test Reports,4. Blended hydraulic cement.
033000,CAST-IN-PLACE CONCRETE,1.6-C-5,INFORMATIONAL SUBMITTALS,Test Reports,5. Silica fume.
033000,CAST-IN-PLACE CONCRETE,1.6-C-6,INFORMATIONAL SUBMITTALS,Test Reports,6. Performance-based hydraulic cement.
033000,CAST-IN-PLACE CONCRETE,1.6-C-7,INFORMATIONAL SUBMITTALS,Test Reports,7. Aggregates.
033000,CAST-IN-PLACE CONCRETE,1.6-C-8,INFORMATIONAL SUBMITTALS,Test Reports,"8. Admixtures: 
a. Permeability-Reducing Admixture: Include independent test reports, indicating 
compliance with specified requirements, including dosage rate used in test."
033000,CAST-IN-PLACE CONCRETE,1.6-D,INFORMATIONAL SUBMITTALS,Reports,Field quality-control reports.
033000,CAST-IN-PLACE CONCRETE,1.6-E,INFORMATIONAL SUBMITTALS,Meeting Minutes,Minutes of preinstallation conference.
033543,POLISHED CONCRETE FINISHING,1.4-A,ACTION SUBMITTALS,Product Data,Product Data : For each type of product.
033543,POLISHED CONCRETE FINISHING,1.4-B,ACTION SUBMITTALS,Schedules,"Polishing Schedule : Submit plan showing polished concrete surfaces and schedule of polishing 
operations for each area of polished concrete before start of polishing operations. Include
locations of all joints, including construction joints."
033543,POLISHED CONCRETE FINISHING,1.4-C,ACTION SUBMITTALS,Samples,Samples for Initial Selection : For each type of product requiring color selection.
033543,POLISHED CONCRETE FINISHING,1.5-A,INFORMATIONAL SUBMITTALS,Qualification Data,Qualification Data : For Installer.
033543,POLISHED CONCRETE FINISHING,1.5-B-1,INFORMATIONAL SUBMITTALS,Certificates,1. Repair materials.
033543,POLISHED CONCRETE FINISHING,1.5-B-2,INFORMATIONAL SUBMITTALS,Certificates,2. Stain materials.
033543,POLISHED CONCRETE FINISHING,1.5-B-3,INFORMATIONAL SUBMITTALS,Certificates,3. Liquid floor treatments.
033543,POLISHED CONCRETE FINISHING,1.6-A-1,QUALITY ASSURANCE,Mockups,"1. Build mockups in the location and of the size indicated or, if not indicated, as directed by 
Architect."
033543,POLISHED CONCRETE FINISHING,1.6-A-2,QUALITY ASSURANCE,Mockups,"2. Demonstrate curing, finishing, and protecting of polished concrete."
033543,POLISHED CONCRETE FINISHING,1.6-A-3,QUALITY ASSURANCE,Mockups,"3. Subject to compliance with requirements, approved mockups may become part of the 
completed Work if undisturbed at time of Substantial Completion."
042200,CONCRETE UNIT MASONRY,1.4-A,PREINSTALLATION MEETINGS,Meetings,Preinstallation Conference : Conduct conference at Project site.
042200,CONCRETE UNIT MASONRY,1.5-A,ACTION SUBMITTALS,Product Data,Product Data : For each type of product.
042200,CONCRETE UNIT MASONRY,1.5-B-1,ACTION SUBMITTALS,Shop Drawings,"1. Masonry Units: Show sizes, profiles, coursing, and locations of special shapes."
042200,CONCRETE UNIT MASONRY,1.5-B-2,ACTION SUBMITTALS,Shop Drawings,"2. Reinforcing Steel: Detail bending, lap lengths, and placement of unit masonry reinforcing 
bars. Comply with ACI 315. Show elevations of reinforced walls."
042200,CONCRETE UNIT MASONRY,1.5-B-3,ACTION SUBMITTALS,Shop Drawings,"3. Fabricated Flashing: Detail corner units, end-dam units, and other special applications."
042200,CONCRETE UNIT MASONRY,1.6-A,INFORMATIONAL SUBMITTALS,Qualification Data,Qualification Data : For testing agency.
042200,CONCRETE UNIT MASONRY,1.6-B-1,INFORMATIONAL SUBMITTALS,Certificates,"1. Masonry units. 
a. Include data on material properties. 
b. For masonry units, include data and calculations establishing average net-area 
compressive strength of units."
042200,CONCRETE UNIT MASONRY,1.6-B-2,INFORMATIONAL SUBMITTALS,Certificates,2. Integral water repellant used in CMUs.
042200,CONCRETE UNIT MASONRY,1.6-B-3,INFORMATIONAL SUBMITTALS,Certificates,"3. Preblended, dry mortar mixes. Include description of type and proportions of ingredients."
042200,CONCRETE UNIT MASONRY,1.6-B-4,INFORMATIONAL SUBMITTALS,Certificates,4. Grout mixes. Include description of type and proportions of ingredients.
042200,CONCRETE UNIT MASONRY,1.6-B-5,INFORMATIONAL SUBMITTALS,Certificates,5. Reinforcing bars.
042200,CONCRETE UNIT MASONRY,1.6-B-6,INFORMATIONAL SUBMITTALS,Certificates,6. Joint reinforcement.
042200,CONCRETE UNIT MASONRY,1.6-B-7,INFORMATIONAL SUBMITTALS,Certificates,"7. Anchors, ties, and metal accessories."
042200,CONCRETE UNIT MASONRY,1.6-C-1,INFORMATIONAL SUBMITTALS,Mix Design,"1. Include test reports for mortar mixes required to comply with property specification. Test 
according to ASTM C109/C109M for compressive strength, ASTM C1506 for water 
retention, and ASTM C91/C91M for air content."
042200,CONCRETE UNIT MASONRY,1.6-C-2,INFORMATIONAL SUBMITTALS,Mix Design,"2. Include test reports, according to ASTM C1019, for grout mixes required to comply with 
compressive strength requirement."
