Spec Number,Spec Name,Para,Sub Section Heading,Submittal Type,Submittal Description,Submittal Summary
24119,SELECTIVE DEMOLITION,1.10-A-1,WARRANTY,Warranty,1. TPO Roofing System, TPO 
24119,SELECTIVE DEMOLITION,1.10-B,WARRANTY,Warranty,"Notify warrantor on completion of selective demolition, and obtain documentation verifying
that existing system has been inspected and warranty remains in effect. Submit
documentation at Project closeout.", warrantor completion
24119,SELECTIVE DEMOLITION,1.5-A-1,PREINSTALLATION MEETINGS,Meetings,1. Inspect and discuss condition of construction to be selectively demolished., Inspect discuss
24119,SELECTIVE DEMOLITION,1.5-A-2,PREINSTALLATION MEETINGS,Meetings,2. Review structural load limitations of existing structure., Review structural load
24119,SELECTIVE DEMOLITION,1.5-A-3,PREINSTALLATION MEETINGS,Meetings,"3. Review and finalize selective demolition schedule and verify availability of materials, 
demolition personnel, equipment, and facilities needed to make progress and avoid 
delays.", Finalize selective
24119,SELECTIVE DEMOLITION,1.5-A-4,PREINSTALLATION MEETINGS,Meetings,"4. Review requirements of work performed by other trades that rely on substrates exposed 
by selective demolition operations.", Review requirements work
24119,SELECTIVE DEMOLITION,1.5-A-5,PREINSTALLATION MEETINGS,Meetings,5. Review areas where existing construction is to remain and requires protection., Review areas existing
24119,SELECTIVE DEMOLITION,1.6-A,INFORMATIONAL SUBMITTALS,Measurements,"Proposed Protection Measures : Submit report, including Drawings, that indicates the 
measures proposed for protecting individuals and property, for environmental protection , for
dust control and, for noise control. Indicate proposed locations and construction of barriers.", Proposed Protection
24119,SELECTIVE DEMOLITION,1.6-B-1,INFORMATIONAL SUBMITTALS,Schedules,"1. Detailed sequence of selective demolition and removal work, with starting and ending 
dates for each activity. Ensure Owner's building manager's and on-site operations are 
uninterrupted.", Detailed sequence
24119,SELECTIVE DEMOLITION,1.6-B-2,INFORMATIONAL SUBMITTALS,Schedules,2. Interruption of utility services. Indicate how long utility services will be interrupted., Inte
24119,SELECTIVE DEMOLITION,1.6-B-3,INFORMATIONAL SUBMITTALS,Schedules,"3. Coordination for shutoff, capping, and continuation of utility services.", Utility services:
24119,SELECTIVE DEMOLITION,1.6-B-4,INFORMATIONAL SUBMITTALS,Schedules,4. Use of elevator and stairs., Use elevator stairs
24119,SELECTIVE DEMOLITION,1.6-B-5,INFORMATIONAL SUBMITTALS,Schedules,"5. Coordination of Owner's continuing occupancy of portions of existing building and of 
Owner's partial occupancy of completed Work.", Work completed on
24119,SELECTIVE DEMOLITION,1.6-C,INFORMATIONAL SUBMITTALS,Photos,"Predemolition Photographs or Video : Show existing conditions of adjoining construction, 
including finish surfaces, that might be misconstrued as damage caused by demolition
operations. Submit before Work begins.", Predemol
