,Spec Number,Spec Name,Para,Sub Section Heading,Submittal Type,Submittal Description,Submittal Summary
0,024119,SELECTIVE DEMOLITION,1.10-A-1,WARRANTY,Warranty,1. TPO Roofing System,TPO Roofing System
1,024119,SELECTIVE DEMOLITION,1.10-B,WARRANTY,Warranty,"Notify warrantor on completion of selective demolition, and obtain documentation verifying
that existing system has been inspected and warranty remains in effect. Submit
documentation at Project closeout.",obtain documentation verifying
2,024119,SELECTIVE DEMOLITION,1.5-A-1,PREINSTALLATION MEETINGS,Meetings,1. Inspect and discuss condition of construction to be selectively demolished.,Inspect and discuss
3,024119,SELECTIVE DEMOLITION,1.5-A-2,PREINSTALLATION MEETINGS,Meetings,2. Review structural load limitations of existing structure.,Review structural
4,024119,SELECTIVE DEMOLITION,1.5-A-3,PREINSTALLATION MEETINGS,Meetings,"3. Review and finalize selective demolition schedule and verify availability of materials, 
demolition personnel, equipment, and facilities needed to make progress and avoid 
delays.",finalize selective demolition
5,024119,SELECTIVE DEMOLITION,1.5-A-4,PREINSTALLATION MEETINGS,Meetings,"4. Review requirements of work performed by other trades that rely on substrates exposed 
by selective demolition operations.",selective demolition operations
6,024119,SELECTIVE DEMOLITION,1.5-A-5,PREINSTALLATION MEETINGS,Meetings,5. Review areas where existing construction is to remain and requires protection.,Review areas
7,024119,SELECTIVE DEMOLITION,1.6-A,INFORMATIONAL SUBMITTALS,Measurements,"Proposed Protection Measures : Submit report, including Drawings, that indicates the 
measures proposed for protecting individuals and property, for environmental protection , for
dust control and, for noise control. Indicate proposed locations and construction of barriers.",Proposed Protection Measures
8,024119,SELECTIVE DEMOLITION,1.6-B-1,INFORMATIONAL SUBMITTALS,Schedules,"1. Detailed sequence of selective demolition and removal work, with starting and ending 
dates for each activity. Ensure Owner's building manager's and on-site operations are 
uninterrupted.",Ensure Owner building
9,024119,SELECTIVE DEMOLITION,1.6-B-2,INFORMATIONAL SUBMITTALS,Schedules,2. Interruption of utility services. Indicate how long utility services will be interrupted.,utility services
10,024119,SELECTIVE DEMOLITION,1.6-B-3,INFORMATIONAL SUBMITTALS,Schedules,"3. Coordination for shutoff, capping, and continuation of utility services.",capping
11,024119,SELECTIVE DEMOLITION,1.6-B-4,INFORMATIONAL SUBMITTALS,Schedules,4. Use of elevator and stairs.,elevator and stairs
12,024119,SELECTIVE DEMOLITION,1.6-B-5,INFORMATIONAL SUBMITTALS,Schedules,"5. Coordination of Owner's continuing occupancy of portions of existing building and of 
Owner's partial occupancy of completed Work.",Owner continuing occupancy
13,024119,SELECTIVE DEMOLITION,1.6-C,INFORMATIONAL SUBMITTALS,Photos,"Predemolition Photographs or Video : Show existing conditions of adjoining construction, 
including finish surfaces, that might be misconstrued as damage caused by demolition
operations. Submit before Work begins.",Show existing conditions
14,024119,SELECTIVE DEMOLITION,1.6-D,INFORMATIONAL SUBMITTALS,Statement Of Refrigerant Recovery,"Statement of Refrigerant Recovery : Signed by refrigerant recovery technician responsible for 
recovering refrigerant, stating that all refrigerant that was present was recovered and that
recovery was performed according to EPA regulations. Include name and address of
technician and date refrigerant was recovered.",recovery technician responsible
15,024119,SELECTIVE DEMOLITION,1.6-E,INFORMATIONAL SUBMITTALS,Warranty,"Warranties : Documentation indicating that existing warranties are still in effect after 
completion of selective demolition.",Documentation indicating
16,024119,SELECTIVE DEMOLITION,1.7-A,CLOSEOUT SUBMITTALS,Inventory,Inventory : Submita list of items that have been removed and salvaged.,Submita list
17,030100,ADVANCED COMPOSITE MATERIALS,1.5-A.1-1,SUBMITTALS,Product Data,"1. Submit product data indicating product standards, physical and chemical characteris-- 
tics, technical specifications, limitations, installation instructions, maintenance in- 
structions and general recommendations regarding each individual material.",technical specifications
18,030100,ADVANCED COMPOSITE MATERIALS,1.5-A.2-2,SUBMITTALS,General,"2. Only epoxy resins will be accepted for construction of FRP systems referenced in this- 
specification. Other resins, such as polyesters/vinyl esters, are not allowed as substi- 
tutes. The manufacturer shall clearly define the epoxy resin working time. Any batch 
that exceeds the batch life shall not be used.",FRP systems referenced
19,030100,ADVANCED COMPOSITE MATERIALS,1.5-A.4-4,SUBMITTALS,General,"4. Written consent from the FRP manufacturer that the surface bonded FRP composite- 
systems are installed by trained certified applicators as per Section 2.2",bonded FRP composite
20,030100,ADVANCED COMPOSITE MATERIALS,1.5-A.7-7,SUBMITTALS,Performance Data,"7. Large-scale test results validating the fiber anchor performance on relevant test spec-- 
imens. Compatibility between composite anchors and the composite system must be 
verified through large-scale testing for similar applications.",imens
21,030100,ADVANCED COMPOSITE MATERIALS,1.5-A.8-8,SUBMITTALS,General,"8. At the termination of the project, the contractor shall providea field quality control- 
report showing compliance with all aspects of the manufacturers certification re- 
quirements. This report shall be stamped bya civil engineer registered in the state 
where the work is performed.",field quality control
